timestamp_ist,event_id,host,logon_type,account,domain,source_ip,status,sub_status
2026-09-03 10:15:47 IST,4625,WEB-PRD-01,10,ftpadmin,VISTARA,89.248.165.52,0xC000006A,0xC0000064
2026-09-03 10:19:59 IST,4625,WEB-PRD-01,10,user,VISTARA,162.243.129.77,0xC000006A,0xC0000064
2026-09-03 10:22:14 IST,4625,WEB-PRD-01,10,administrator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:22:16 IST,4625,WEB-PRD-01,10,user,VISTARA,185.176.27.44,0xC000006A,0xC0000064
2026-09-03 10:23:16 IST,4625,WEB-PRD-01,10,svc_portal,VISTARA,45.155.90.23,0xC000006A,0xC000006A
2026-09-03 10:25:15 IST,4625,WEB-PRD-01,10,backup,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:25:53 IST,4625,WEB-PRD-01,10,ftpadmin,VISTARA,94.102.49.190,0xC000006A,0xC0000064
2026-09-03 10:25:54 IST,4625,WEB-PRD-01,10,administrator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:26:46 IST,4625,WEB-PRD-01,10,backup,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:27:02 IST,4625,WEB-PRD-01,10,svc_portal,VISTARA,45.155.90.23,0xC000006A,0xC000006A
2026-09-03 10:27:32 IST,4625,WEB-PRD-01,10,backup,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:28:38 IST,4625,WEB-PRD-01,10,user,VISTARA,193.32.162.157,0xC000006A,0xC0000064
2026-09-03 10:29:49 IST,4625,WEB-PRD-01,10,test,VISTARA,185.176.27.44,0xC000006A,0xC0000064
2026-09-03 10:29:57 IST,4625,WEB-PRD-01,10,test,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:30:39 IST,4625,WEB-PRD-01,10,svc_portal,VISTARA,45.155.90.23,0xC000006A,0xC000006A
2026-09-03 10:30:48 IST,4625,WEB-PRD-01,10,test,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:31:09 IST,4625,WEB-PRD-01,10,admin,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:31:40 IST,4625,WEB-PRD-01,10,test,VISTARA,45.148.10.91,0xC000006A,0xC0000064
2026-09-03 10:31:49 IST,4625,WEB-PRD-01,10,administrator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:32:40 IST,4625,WEB-PRD-01,10,operator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:32:48 IST,4625,WEB-PRD-01,10,backup,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:32:51 IST,4625,WEB-PRD-01,10,vistara,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:32:56 IST,4625,WEB-PRD-01,10,operator,VISTARA,45.148.10.91,0xC000006A,0xC0000064
2026-09-03 10:33:17 IST,4625,WEB-PRD-01,10,vistara,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:33:26 IST,4625,WEB-PRD-01,10,administrator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:34:03 IST,4625,WEB-PRD-01,10,backup,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:34:31 IST,4625,WEB-PRD-01,10,ftpadmin,VISTARA,91.240.118.172,0xC000006A,0xC0000064
2026-09-03 10:35:39 IST,4625,WEB-PRD-01,10,administrator,VISTARA,45.155.90.23,0xC000006A,0xC0000064
2026-09-03 10:35:45 IST,4625,WEB-PRD-01,10,user,VISTARA,193.32.162.157,0xC000006A,0xC0000064
